date,total_kwh
2025-06-10 15:00:00.769734,32.05
2025-06-11 15:00:00.769734,48.66
2025-06-12 15:00:00.769734,51.29
2025-06-13 15:00:00.769734,39.36
2025-06-14 15:00:00.769734,35.63
2025-06-15 15:00:00.769734,51.08
2025-06-16 15:00:00.769734,45.75
2025-06-17 15:00:00.769734,30.96
2025-06-18 15:00:00.769734,31.75
2025-06-19 15:00:00.769734,43.63
2025-06-20 15:00:00.769734,45.76
2025-06-21 15:00:00.769734,30.74
2025-06-22 15:00:00.769734,36.04
2025-06-23 15:00:00.769734,47.7
2025-06-24 15:00:00.769734,33.94
2025-06-25 15:00:00.769734,30.24
2025-06-26 15:00:00.769734,43.39
2025-06-27 15:00:00.769734,52.72
2025-06-28 15:00:00.769734,43.23
2025-06-29 15:00:00.769734,32.22
2025-06-30 15:00:00.769734,59.38
2025-07-01 15:00:00.769734,30.11
2025-07-02 15:00:00.769734,51.55
2025-07-03 15:00:00.769734,37.9
2025-07-04 15:00:00.769734,47.0
2025-07-05 15:00:00.769734,50.83
2025-07-06 15:00:00.769734,43.66
2025-07-07 15:00:00.769734,36.02
2025-07-08 15:00:00.769734,45.91
2025-07-09 15:00:00.769734,42.2
2025-07-10 15:00:00.769734,49.43
2025-07-11 15:00:00.769734,56.61
2025-07-12 15:00:00.769734,37.56
2025-07-13 15:00:00.769734,49.47
2025-07-14 15:00:00.769734,41.54
2025-07-15 15:00:00.769734,55.28
2025-07-16 15:00:00.769734,51.75
2025-07-17 15:00:00.769734,41.68
2025-07-18 15:00:00.769734,37.7
2025-07-19 15:00:00.769734,39.22
2025-07-20 15:00:00.769734,59.73
2025-07-21 15:00:00.769734,31.29
2025-07-22 15:00:00.769734,53.86
2025-07-23 15:00:00.769734,30.11
2025-07-24 15:00:00.769734,51.26
2025-07-25 15:00:00.769734,42.04
2025-07-26 15:00:00.769734,46.86
2025-07-27 15:00:00.769734,46.14
2025-07-28 15:00:00.769734,38.77
2025-07-29 15:00:00.769734,56.19
2025-07-30 15:00:00.769734,58.11
2025-07-31 15:00:00.769734,34.38
2025-08-01 15:00:00.769734,53.42
2025-08-02 15:00:00.769734,55.58
2025-08-03 15:00:00.769734,46.72
2025-08-04 15:00:00.769734,41.77
2025-08-05 15:00:00.769734,42.36
2025-08-06 15:00:00.769734,57.21
2025-08-07 15:00:00.769734,48.37
2025-08-08 15:00:00.769734,39.21
2025-08-09 15:00:00.769734,47.85
2025-08-10 15:00:00.769734,40.66
2025-08-11 15:00:00.769734,37.84
2025-08-12 15:00:00.769734,39.03
2025-08-13 15:00:00.769734,52.4
2025-08-14 15:00:00.769734,34.03
2025-08-15 15:00:00.769734,55.16
2025-08-16 15:00:00.769734,39.36
2025-08-17 15:00:00.769734,37.18
2025-08-18 15:00:00.769734,53.01
2025-08-19 15:00:00.769734,53.13
2025-08-20 15:00:00.769734,35.43
2025-08-21 15:00:00.769734,36.4
2025-08-22 15:00:00.769734,56.37
2025-08-23 15:00:00.769734,42.31
2025-08-24 15:00:00.769734,38.04
2025-08-25 15:00:00.769734,43.4
2025-08-26 15:00:00.769734,48.0
2025-08-27 15:00:00.769734,36.25
2025-08-28 15:00:00.769734,46.78
2025-08-29 15:00:00.769734,38.37
2025-08-30 15:00:00.769734,37.96
2025-08-31 15:00:00.769734,38.16
2025-09-01 15:00:00.769734,30.94
2025-09-02 15:00:00.769734,35.24
2025-09-03 15:00:00.769734,30.03
2025-09-04 15:00:00.769734,35.25
2025-09-05 15:00:00.769734,44.28
2025-09-06 15:00:00.769734,42.48
2025-09-07 15:00:00.769734,57.92
2025-09-08 15:00:00.769734,53.26
2025-09-09 15:00:00.769734,34.62
2025-09-10 15:00:00.769734,35.28
2025-09-11 15:00:00.769734,50.4
2025-09-12 15:00:00.769734,40.07
2025-09-13 15:00:00.769734,43.8
2025-09-14 15:00:00.769734,44.09
2025-09-15 15:00:00.769734,46.92
2025-09-16 15:00:00.769734,57.85
2025-09-17 15:00:00.769734,38.84
2025-09-18 15:00:00.769734,42.06
2025-09-19 15:00:00.769734,33.66
2025-09-20 15:00:00.769734,42.07
2025-09-21 15:00:00.769734,57.85
2025-09-22 15:00:00.769734,44.98
2025-09-23 15:00:00.769734,34.57
2025-09-24 15:00:00.769734,34.44
2025-09-25 15:00:00.769734,54.07
2025-09-26 15:00:00.769734,39.37
2025-09-27 15:00:00.769734,46.86
2025-09-28 15:00:00.769734,35.43
2025-09-29 15:00:00.769734,44.93
2025-09-30 15:00:00.769734,48.48
2025-10-01 15:00:00.769734,30.98
2025-10-02 15:00:00.769734,54.31
2025-10-03 15:00:00.769734,56.04
2025-10-04 15:00:00.769734,43.86
2025-10-05 15:00:00.769734,52.28
2025-10-06 15:00:00.769734,44.8
2025-10-07 15:00:00.769734,49.01
2025-10-08 15:00:00.769734,32.44
2025-10-09 15:00:00.769734,45.34
2025-10-10 15:00:00.769734,58.25
2025-10-11 15:00:00.769734,59.6
2025-10-12 15:00:00.769734,41.85
2025-10-13 15:00:00.769734,57.32
2025-10-14 15:00:00.769734,31.66
2025-10-15 15:00:00.769734,42.37
2025-10-16 15:00:00.769734,32.87
2025-10-17 15:00:00.769734,30.18
2025-10-18 15:00:00.769734,55.44
2025-10-19 15:00:00.769734,32.63
2025-10-20 15:00:00.769734,47.52
2025-10-21 15:00:00.769734,50.68
2025-10-22 15:00:00.769734,48.37
2025-10-23 15:00:00.769734,38.62
2025-10-24 15:00:00.769734,54.79
2025-10-25 15:00:00.769734,54.58
2025-10-26 15:00:00.769734,54.0
2025-10-27 15:00:00.769734,56.41
2025-10-28 15:00:00.769734,59.92
2025-10-29 15:00:00.769734,32.28
2025-10-30 15:00:00.769734,48.97
2025-10-31 15:00:00.769734,51.01
2025-11-01 15:00:00.769734,38.3
2025-11-02 15:00:00.769734,52.44
2025-11-03 15:00:00.769734,55.07
2025-11-04 15:00:00.769734,37.74
2025-11-05 15:00:00.769734,37.32
2025-11-06 15:00:00.769734,35.16
2025-11-07 15:00:00.769734,58.82
2025-11-08 15:00:00.769734,47.65
2025-11-09 15:00:00.769734,56.46
2025-11-10 15:00:00.769734,40.96
2025-11-11 15:00:00.769734,59.92
2025-11-12 15:00:00.769734,50.65
2025-11-13 15:00:00.769734,49.82
2025-11-14 15:00:00.769734,51.01
2025-11-15 15:00:00.769734,57.29
2025-11-16 15:00:00.769734,52.53
2025-11-17 15:00:00.769734,45.1
2025-11-18 15:00:00.769734,35.83
2025-11-19 15:00:00.769734,52.96
2025-11-20 15:00:00.769734,44.95
2025-11-21 15:00:00.769734,57.43
2025-11-22 15:00:00.769734,33.35
2025-11-23 15:00:00.769734,41.56
2025-11-24 15:00:00.769734,34.7
2025-11-25 15:00:00.769734,45.55
2025-11-26 15:00:00.769734,32.35
2025-11-27 15:00:00.769734,42.85
2025-11-28 15:00:00.769734,48.13
2025-11-29 15:00:00.769734,38.56
2025-11-30 15:00:00.769734,44.27
2025-12-01 15:00:00.769734,49.31
2025-12-02 15:00:00.769734,39.0
2025-12-03 15:00:00.769734,42.75
2025-12-04 15:00:00.769734,51.44
2025-12-05 15:00:00.769734,49.38
2025-12-06 15:00:00.769734,49.6
2025-12-07 15:00:00.769734,49.54
2025-12-08 15:00:00.769734,43.54
2025-12-09 15:00:00.769734,53.29
2025-12-10 15:00:00.769734,43.71
2025-12-11 15:00:00.769734,40.17
2025-12-12 15:00:00.769734,41.32
2025-12-13 15:00:00.769734,39.19
2025-12-14 15:00:00.769734,54.6
2025-12-15 15:00:00.769734,44.82
2025-12-16 15:00:00.769734,44.8
2025-12-17 15:00:00.769734,43.38
2025-12-18 15:00:00.769734,39.7
2025-12-19 15:00:00.769734,32.25
2025-12-20 15:00:00.769734,36.47
2025-12-21 15:00:00.769734,48.37
2025-12-22 15:00:00.769734,42.69
2025-12-23 15:00:00.769734,54.17
2025-12-24 15:00:00.769734,34.92
2025-12-25 15:00:00.769734,53.03
2025-12-26 15:00:00.769734,43.92
2025-12-27 15:00:00.769734,39.8
2025-12-28 15:00:00.769734,58.95
2025-12-29 15:00:00.769734,31.03
2025-12-30 15:00:00.769734,49.83
2025-12-31 15:00:00.769734,33.6
2026-01-01 15:00:00.769734,47.37
2026-01-02 15:00:00.769734,47.89
2026-01-03 15:00:00.769734,38.56
2026-01-04 15:00:00.769734,50.27
2026-01-05 15:00:00.769734,40.03
2026-01-06 15:00:00.769734,34.48
2026-01-07 15:00:00.769734,40.19
2026-01-08 15:00:00.769734,58.07
2026-01-09 15:00:00.769734,59.35
2026-01-10 15:00:00.769734,50.16
2026-01-11 15:00:00.769734,39.33
2026-01-12 15:00:00.769734,41.48
2026-01-13 15:00:00.769734,38.35
2026-01-14 15:00:00.769734,56.56
2026-01-15 15:00:00.769734,42.16
2026-01-16 15:00:00.769734,42.93
2026-01-17 15:00:00.769734,30.02
2026-01-18 15:00:00.769734,45.01
2026-01-19 15:00:00.769734,31.48
2026-01-20 15:00:00.769734,48.71
2026-01-21 15:00:00.769734,35.04
2026-01-22 15:00:00.769734,33.71
2026-01-23 15:00:00.769734,56.03
2026-01-24 15:00:00.769734,57.24
2026-01-25 15:00:00.769734,43.52
2026-01-26 15:00:00.769734,34.02
2026-01-27 15:00:00.769734,55.56
2026-01-28 15:00:00.769734,37.85
2026-01-29 15:00:00.769734,54.1
2026-01-30 15:00:00.769734,41.39
2026-01-31 15:00:00.769734,52.96
2026-02-01 15:00:00.769734,49.5
2026-02-02 15:00:00.769734,39.21
2026-02-03 15:00:00.769734,30.37
2026-02-04 15:00:00.769734,47.08
2026-02-05 15:00:00.769734,43.34
2026-02-06 15:00:00.769734,48.46
2026-02-07 15:00:00.769734,35.72
2026-02-08 15:00:00.769734,36.94
2026-02-09 15:00:00.769734,30.8
2026-02-10 15:00:00.769734,44.63
2026-02-11 15:00:00.769734,46.86
2026-02-12 15:00:00.769734,37.3
2026-02-13 15:00:00.769734,48.91
2026-02-14 15:00:00.769734,56.12
2026-02-15 15:00:00.769734,52.8
2026-02-16 15:00:00.769734,56.97
2026-02-17 15:00:00.769734,41.04
2026-02-18 15:00:00.769734,55.42
2026-02-19 15:00:00.769734,50.55
2026-02-20 15:00:00.769734,54.47
2026-02-21 15:00:00.769734,59.33
2026-02-22 15:00:00.769734,56.99
2026-02-23 15:00:00.769734,45.09
2026-02-24 15:00:00.769734,50.48
2026-02-25 15:00:00.769734,43.62
2026-02-26 15:00:00.769734,30.23
2026-02-27 15:00:00.769734,43.65
2026-02-28 15:00:00.769734,58.07
2026-03-01 15:00:00.769734,55.7
2026-03-02 15:00:00.769734,32.71
2026-03-03 15:00:00.769734,45.74
2026-03-04 15:00:00.769734,52.58
2026-03-05 15:00:00.769734,35.55
2026-03-06 15:00:00.769734,51.24
2026-03-07 15:00:00.769734,58.59
2026-03-08 15:00:00.769734,48.46
2026-03-09 15:00:00.769734,46.35
2026-03-10 15:00:00.769734,50.88
2026-03-11 15:00:00.769734,33.5
2026-03-12 15:00:00.769734,40.43
2026-03-13 15:00:00.769734,30.93
2026-03-14 15:00:00.769734,53.34
2026-03-15 15:00:00.769734,37.94
2026-03-16 15:00:00.769734,50.26
2026-03-17 15:00:00.769734,31.09
2026-03-18 15:00:00.769734,46.07
2026-03-19 15:00:00.769734,51.66
2026-03-20 15:00:00.769734,34.78
