date,appliance,kwh
2026-03-10 15:00:00.872602,AC,2.75
2026-03-10 15:00:00.872602,Fan,1.72
2026-03-10 15:00:00.872602,TV,2.41
2026-03-10 15:00:00.872602,Fridge,1.88
2026-03-10 15:00:00.872602,Router,1.31
2026-03-11 15:00:00.872602,AC,0.58
2026-03-11 15:00:00.872602,Fan,3.46
2026-03-11 15:00:00.872602,TV,2.27
2026-03-11 15:00:00.872602,Fridge,0.51
2026-03-11 15:00:00.872602,Router,1.85
2026-03-12 15:00:00.872602,AC,0.66
2026-03-12 15:00:00.872602,Fan,0.96
2026-03-12 15:00:00.872602,TV,2.05
2026-03-12 15:00:00.872602,Fridge,3.26
2026-03-12 15:00:00.872602,Router,1.82
2026-03-13 15:00:00.872602,AC,3.41
2026-03-13 15:00:00.872602,Fan,0.96
2026-03-13 15:00:00.872602,TV,1.33
2026-03-13 15:00:00.872602,Fridge,1.45
2026-03-13 15:00:00.872602,Router,2.6
2026-03-14 15:00:00.872602,AC,0.98
2026-03-14 15:00:00.872602,Fan,0.49
2026-03-14 15:00:00.872602,TV,1.48
2026-03-14 15:00:00.872602,Fridge,2.86
2026-03-14 15:00:00.872602,Router,2.71
2026-03-15 15:00:00.872602,AC,2.64
2026-03-15 15:00:00.872602,Fan,3.31
2026-03-15 15:00:00.872602,TV,0.46
2026-03-15 15:00:00.872602,Fridge,2.54
2026-03-15 15:00:00.872602,Router,2.76
2026-03-16 15:00:00.872602,AC,1.61
2026-03-16 15:00:00.872602,Fan,2.38
2026-03-16 15:00:00.872602,TV,3.53
2026-03-16 15:00:00.872602,Fridge,2.82
2026-03-16 15:00:00.872602,Router,2.88
2026-03-17 15:00:00.872602,AC,0.87
2026-03-17 15:00:00.872602,Fan,2.89
2026-03-17 15:00:00.872602,TV,2.64
2026-03-17 15:00:00.872602,Fridge,1.24
2026-03-17 15:00:00.872602,Router,3.46
2026-03-18 15:00:00.872602,AC,2.08
2026-03-18 15:00:00.872602,Fan,2.07
2026-03-18 15:00:00.872602,TV,1.25
2026-03-18 15:00:00.872602,Fridge,2.78
2026-03-18 15:00:00.872602,Router,2.78
2026-03-19 15:00:00.872602,AC,1.63
2026-03-19 15:00:00.872602,Fan,3.18
2026-03-19 15:00:00.872602,TV,1.22
2026-03-19 15:00:00.872602,Fridge,3.2
2026-03-19 15:00:00.872602,Router,1.81
2026-03-20 15:00:00.872602,AC,1.28
2026-03-20 15:00:00.872602,Fan,2.41
2026-03-20 15:00:00.872602,TV,2.67
2026-03-20 15:00:00.872602,Fridge,2.51
2026-03-20 15:00:00.872602,Router,1.47
